original,Endnote_intext_citation
"NSW National Parks and Wildlife Service (2002). Approved Recovery Plan for the Lord Howe Woodhen. NSW National Parks and Wildlife Service, Hurstville, NSW.",(NSW National Parks and Wildlife Service 2002a)
"NSW National Parks and Wildlife Service, “Approved recovery plan for the mountain pygmy-possum” (NSW National Parks and Wildlife Service, Hurtsville, 2002).",(NSW National Parks and Wildlife Service 2002b)
NSWG 2005,NSWG 2005
"Nagata, J., Haga, A., Kusachi, Y., Tokuyoshi, M., Endo, H. and Watari, Y., 2022. Cats were responsible for the headless carcasses of shearwaters: Evidence from genetic predator identification. Mammal Study, 47(3), pp.197-204.",(Nagata et al. 2022)
"National Environmental Science Program Threatened Species Research Hub (2019) Threatened Species Strategy Year 3 Scorecard - White-throated Grass-wren. Australian Government, Canberra.",(National Environmental Science Program Threatened Species Research Hub 2019)
"Natividad Hodges CS, Nagata RJS. 2001. Effects of predator control on the survival and breeding success of the endangered Hawaiian dark‐rumped petrel. Studies in Avian Biology 22:308‐318.",(Hodges & Nagata Sr 2001)
"Ndang'ang'a, P. K., Sande, E., Evans, S.W., Buckley, P., Newbery, P., Hoffmann, D. A., John, J. 2005. International action plan for Spotted Ground Thrush Zoothera guttata (Threatened Birds of Africa).",(Ndang'ang'a et al. 2004)
"Neave, G., Murphy, B.P., Rangers, T., Andersen, A.N. and Davies, H.F., 2024. The intact and the imperilled: contrasting mammal population trajectories between two large adjacent islands. Wildlife Research, 51(8).",(Neave et al. 2024)
"Neilson, K., Curran, J.M., Towns, D.R. and Jamieson, H. 2006. Habitat use by chevron skinks (Oligosoma homalonotum) (Sauria: Scincidae) on Great Barrier Island, New Zealand. New Zealand Journal of Ecology 30: 345–353.",(Neilson et al. 2006)
"Neilson, K.A., Duganzich, D., Goetz, B. and Waas, J.R. 2004. Improving search strategies for the cryptic New Zealand striped skink (Oligosoma striatum) through behavioural contrasts with the brown skink (Oligosoma zelandicum). New Zealand Journal of Ecology 28(2): 267-278.",(Neilson et al. 2004)
New Zealand Department of Conservation. 2006. Native Animal Conservation. Available at: www.doc.govt.nz/.,(New Zealand Department of Conservation 2006)
Newton and Fugler 1989 in Agreement on the Conservation of Albatrosses and Petrels. 2009. B. ACAP Species assessments: Grey Petrel Procellaria cinerea. Downloaded from http://www.acap.aq.,(Newton & Fugler 1989)
"Niederhauser J.M., Bowman R. 2014. Testing sources of variation in nestling-stage nest success of Florida Scrub-Jays in suburban and wildland habitats. J. Field Ornithol. 85: 180-195.",(Niederhauser & Bowman 2014)
"Nilsson, R., Kennedy, E., West, G. 1994. Birdlife of South East Island (Rangatira), Chatham Islands, New Zealand. Notornis (supplement) 41: 109-126.",(Nilsson et al. 1994)
"Nogales, M., A. Martin, B. Tershy, C. J. Donlan, D. Veitch, N. Puerta, B. Wood, and J. Alonso. 2004. A review of feral cat eradication on islands. Conserv. Biol. 18:310-319.",(Nogales et al. 2004)
"Northover, A.S., Godfrey, S.S., Lymbery, A.J., Wayne, A.F., Keatley, S., Ash, A., Badsha, D., Egan, S.L., Barr, J. and Thompson, R.A., 2024. The parasites of free-ranging terrestrial wildlife from Australia’s south-west. Australian Journal of Zoology, 71(5).",(Northover et al. 2024)
"Northover, A.S., Godfrey, S.S., Lymbery, A.J., Wayne, A.F., Keatley, S., Ash, A., Badsha, D., Egan, S.L., Barr, J. and Thompson, R.A., 2024. The parasites of free-ranging terrestrial wildlife from Australia’s south-west. Australian journal of zoology, 71(5).",(Northover et al. 2024)
"Norton, M.A., Prentice, A., Dingle, J., French, K. and Claridge, A.W., 2015. Population characteristics and management of the long-nosed potoroo (Potorous tridactylus) in high-quality habitat in the Southern Highlands of New South Wales. Australian Mammalogy, 37(1), pp.67-74.",(Norton et al. 2015)
"Nunes, M.; Hazevoet, C. 2001. Cape Verde's seabirds in trouble. World Birdwatch 23(2): 24-26.",(Nunes & Hazevoet 2001)
"O'Connor, S. M. Maloney, R. F. Pierce, R. J. 2007. Pateke (Anas chlorotis) recovery plan, 2005-2010. Department of Conservation, Wellington.",(O'Connor et al. 2007)
"O'Donnell, C.F.J., Christie, J.E., Hitchmough, R.A., Lloyd, B. and Parsons, S. 2010. The conservation status of New Zealand bats, 2009. New Zealand Journal of Zoology 37: 297-311.",(O'Donnell et al. 2010)
"Oakwood, M., 2000. Reproduction and demography of the northern quoll, Dasyurus hallucatus, in the lowland savanna of northern Australia. Australian Journal of Zoology, 48(5), pp.519-539.",(Oakwood 2000)
"Oberle, M.W. 2018. Puerto Rico’s Birds in Photographs. Fourth Edition. Editorial Humanitas, Seattle, Washington. 136 pp.",(Oberle 2018)
Oedin,Oedin
"Office of Environment & Heritage, “National recovery plan for eastern bristlebird Dasyornis brachypterus” (Department of Premier and Cabinet (NSW), Sydney, 2012).",(Office of Environment & Heritage 2012)
Oikonos undated,Oikonos undated
"Oliver, W.R.B. 1930. New Zealand birds. Wellington, Reed.",(Oliver 1930)
"Olsen, P. D. 1995. Australian birds of prey. Johns Hopkins University Press, Baltimore, Maryland.",(Olsen 1995)
"Olson, S. L. (1984). The last St. Kitts Bullfinch Loxigilla portoricensis grandis (Emberizinae) and the extinction of its race. Bulletin of the British Ornithologists’ Club 104(4):121–123.",(Olson 1984)
"Oppel, S., Burns, F., Vickery, J., George, K., Ellick, G., Leo, D. and Hillman, J. C. 2014. Habitat-specific effectiveness of feral cat control for the conservation of an endemic ground-nesting bird species. Journal of Applied Ecology 51: 1246-1254.",(Oppel et al. 2014)
Opportunistic,Opportunistic
"Orange-bellied Parrot Recovery Team, “National recovery plan for the orange-bellied parrot (Neophema chrysogaster)” (Department of Primary Industries and Water, Hobart, 2006).",(Orange Bellied Parrot Recovery Team 2006)
"Oro, D., Aguilar, J.S., Igual, J.M. and Louzao, M., 2004. Modelling demography and extinction risk in the endangered Balearic shearwater. Biological Conservation, 116(1), pp.93-102.",(Oro et al. 2004)
"Ortiz-Alcaraz, A., Aguirre-Muñoz, A., Méndez-Sánchez and Ortega-Rubio, A. 2016. Feral sheep eradication at Socorro Island, Mexico: a mandatory step to ensure ecological restoration. Interciena 41: 184-189.",(Ortiz-Alcaraz et al. 2016)
"Ortíz-Alcaraz, A., Arnaud, G., Aguirre-Muooz, A., Galina-Tessaro, P., Mendez-Sanchez, F., Ortega-Rubio, A. 2017. Diet and home-range of the feral cat, Felis catus (Carnivora: Felidae) on Socorro Island, Revillagigedo Archipelago, Mexico. Acta Zoológica Mexicana 33(3): 482-489.",(Ortiz-Alcaraz et al. 2017)
"O’Connor, S.M. 2004: Minutes of the 2004 Pateke Recovery Group Meeting. Department of Conservation, Wellington (unpublished).",(O'Connor 2004)
"O’Donnell CFJ 2000. Distribution, status and conservation of long-tailed bat (Chalinolobus tuberculatus) communities in Canterbury, New Zealand. Unpublished report, U00/38. Environment Canterbury, Christchurch.",(O'Donnell 2000)
"O’Donnell CFJ, Sedgeley JA 1999. Use of roosts by the long-tailed bat, Chalinolobus tuberculatus, in temperate rainforest in New Zealand. Journal of Mammalogy 80: 913923.",(O'Donnell & Sedgeley 1999)
"O’Donnell, C.F., 2000. Conservation status and causes of decline of the threatened New Zealand Long‐tailed Bat Chalinolobus tuberculatus (Chiroptera: Vespertilionidae). Mammal Review, 30(2), pp.89-106.",(O’Donnell 2000)
"O’Donnell, C.F., Clapperton, B.K. and Monks, J.M., 2015. Impacts of introduced mammalian predators on indigenous birds of freshwater wetlands in New Zealand. New Zealand Journal of Ecology, 39(1), pp.19-33.",(O’Donnell et al. 2015)
"O’Donnell, C.F., Sedgeley, J.A. and Van Hal, J.A.C.K., 2010. Variation in house cat (Felis catus) predation sign at a black-fronted tern (Sterna albostriata) colony. Notornis, 57, pp.43-47.",(O’Donnell et al. 2010)
P. Baker in litt. 1999,P. Baker in litt. 1999
P. Banko in litt. 2007,P. Banko in litt. 2007
"P. C. Banko et al., Availability of food resources, distribution of invasive species, and conservation of a Hawaiian bird along a gradient of elevation. Journal of Biogeography. 29, 789–808 (2002).",(Banko et al. 2002b)
"P. D. Meek, The decline and current status of the Christmas Island shrew Crocidura attentuata trichura on Christmas Island, Indian Ocean. Australian Mammalogy. 22, 43–49 (2013).",(Meek 2000)
"P. D. Montague, 35. A report on the fauna of the Monte Bello Islands. Proceedings of the Zoological Society of London. 84, 625–652 (1914).",(Montague 1914)
"P. F. Battley, S. J. Moore, Predation on non-breeding wrybills in the Firth of Thames. Notornis. 51, 233–234 (2004).",(Battley & Moore 2004)
P. Feldmann in litt. 2022,P. Feldmann in litt. 2022
P. Hodum in litt. 2020,P. Hodum in litt. 2020
"P. J. Moore, K. Walker, Auckland Island Teal Anas aucklandica aucklandica revisited. Wildfowl. 42, 137–144 (1991).",(Moore & Walker 1991)
"P. J. Moore, The recovering population of the Chatham Island oystercatcher (Haematopus chathamensis). Notornis. 55, 20–31 (2008).",(Moore 2008)
"P. J. Moore, “Chatham Island oystercatcher (Haematopus chathamensis) management techniques: guidelines for protecting nests and increasing their productivity” (Department of Conservation, Wellington, 2009).",(Moore 2009)
"P. J. Tolson, Critical habitat, predator pressures, and the management of Epicrates monensi (Serpentes: Boidae) on the Puerto Rico Bank: a multivariate analysis. Forest Service General Technical Report (US Department of Agriculture). RM-166, 228–238 (1988).",(Tolson 1988)
"P. J. de Tores, M. W. Hayward, M. J. Dillon, R. I. Brazell, Review of the distribution, causes for the decline and recommendations for management of the quokka, Setonix brachyurus (Macropodidae: Marsupialia), an endemic macropodid marsupial from south-west Western Australia. Conservation Science Western Australia. 6, 13–73 (2007).",(De Tores et al. 2007)
P. McRae pers. comm.,P. McRae pers. comm.
"P. R. Grant, R. L. Curry, B. R. Grant, A remnant population of the Floreana mockingbird on Champion island, Galápagos. Biological Conservation. 92, 285–290 (2000).",(Grant et al. 2000)
P. Raust in litt. 2020,P. Raust in litt. 2020
P. Roberts in litt. 2007,P. Roberts in litt. 2007
"P. S. Harlow et al., The decline of the endemic Fijian crested iguana Brachylophus vitiensis in the Yasawa and Mamanuca archipelagos, western Fiji. Oryx. 41, 44–50 (2007).",(Harlow et al. 2007)
"P. Skipwith, T. Jackman, A. H. Whitaker, A. M. Bauer, R. A. Sadlier, New data on Dierogekko (Squamata: Gekkota: Diplodactylidae), with the description of a new species from Île Baaba, Province Nord, New Caledonia (2014).",(Skipwith et al. 2014)
"P. Webb, Clarke Webb Ecology Ltd, pers. comm.","P. Webb, Clarke Webb Ecology Ltd, pers. comm."
P. Wenninger in litt. 2007,P. Wenninger in litt. 2007
P.J. Tolson pers. comm.,P.J. Tolson pers. comm.
"POWLESLAND, R., GRANT, A., DILKS, P., FLUX, I., BELL, M. 1995. Some aspects of the ecology and breeding biology of Parea on southern Chatham Island, July 1993-April 1994. Science & Research Series No. 82. Department of Conservation, Wellington.",(Powlesland et al. 1994)
"Padilla, D., Carmona, J.M. and Martín-Carbajal, J. 2019. Censo de las poblaciones de lagarto gigante de Tenerife (Gallotia intermedia) en el macizo de Teno y la Montaña de Guaza. Cabildo de Tenerife: 72.",(Padilla et al. 2019)
"Palmas P., Bonnaud E., Jourdan H., De Meringo H., Debar L., Mathivet M., Lee M., Bourguet E., Rigault F., Millon A.,Vidal E. In preparation. Feral cat diet at a biodiversity hotspot scale: The endangered and highly endemic fauna of New Caledonia under the threat of an invasive carnivore.",(Palmas et al. In preparation)
"Palmas, P., Jourdan, H., Debar, L., Bourguet, E., Rigault, F., Bonnaud, E. and Vidal, E., 2020. A conservation paradox: endangered and iconic flightless kagu (Rhynochetos jubatus) apparently escape feral cat predation. New Zealand Journal of Ecology, 44(1), pp.1-8.",(Palmas et al. 2020)
"Palmas, P., Jourdan, H., Rigault, F., Debar, L., De Meringo, H., Bourguet, E., Mathivet, M., Lee, M., Adjouhgniope, R., Papillon, Y. and Bonnaud, E., 2017. Feral cats threaten the outstanding endemic fauna of the New Caledonia biodiversity hotspot. Biological Conservation, 214, pp.250-259.",(Palmas et al. 2017)
"Palmer, R., Anderson, H., Richards, B., Craig, M.D. and Gibson, L., 2021. Does aerial baiting for controlling feral cats in a heterogeneous landscape confer benefits to a threatened native meso-predator?. PLoS One, 16(5), p.e0251304.",(Palmer et al. 2021)
Palomo et al. 2007,Palomo et al. 2007
"Palomo, L.J. and Gisbert, J. 2002. Atlas de los mamíferos terrestres de España. Dirección General de Conservación de la Naturaleza-SECEM-SECEMU, Madrid.",(Palomo & Gisbert 2002)
"Paltridge, R., 2002. The diets of cats, foxes and dingoes in relation to prey availability in the Tanami Desert, Northern Territory. Wildlife Research, 29(4), pp.389-403.",(Paltridge 2002)
"Paltridge, R., Gibson, D. and Edwards, G., 1997. Diet of the feral cat (Felis catus) in central Australia. Wildlife Research, 24(1), pp.67-76.",(Paltridge et al. 1997)
"Paltridge, R., Ward, N.N., West, J.T. and Crossing, K., 2020. Is cat hunting by Indigenous tracking experts an effective way to reduce cat impacts on threatened species?. Wildlife Research, 47(8), pp.709-719.",(Paltridge et al. 2020)
"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",(Paltridge 2005)
"Panitvong, N., Sumontha, M., Konlek, K. and Kunya, K. 2010. Gekko lauhachindai sp. nov., a new cave-dwelling gecko (Reptilia: Gekkonidae) from central Thailand. Zootaxa 2671(1): 40-52.",(Panitvong et al. 2010)
"Paton, A.J., Brook, B.W. and Buettel, J.C., 2024. Here kitty-kitty: lure choice for predator attraction in a temperate environment. Wildlife Research, 51(10), pp.NULL-NULL.",(Paton et al. 2024)
"Pavey CR, Eldridge SR, Heywood M (2008) Population dynamics and prey selection of native and introduced predators during a rodent outbreak in arid Australia. Journal of Mammalogy 89, 674–683.",(Pavey et al. 2008b)
"Pavey CR, Gorman J, Heywood M (2008) Dietary overlap between the nocturnal letter-winged kite Elanus scriptus and barn owl Tyto alba during a rodent outbreak in arid Australia. Journal of Arid Environments 72, 2282–2286.",(Pavey et al. 2008a)
"Pavey, C., 2006. National recovery plan for the greater bilby. Northern Territory Department of Natural Resources, Environment and the Arts, Alice Springs.",(Pavey 2006)
"Pavey, C.R., Cole, J.R., McDonald, P.J. and Nano, C.E., 2014. Population dynamics and spatial ecology of a declining desert rodent, Pseudomys australis: the importance of refuges for persistence. Journal of Mammalogy, 95(3), pp.615-625.",(Pavey et al. 2014)
"Pavey, C.R., Eldridge, S.R. and Heywood, M., 2008. Population dynamics and prey selection of native and introduced predators during a rodent outbreak in arid Australia. Journal of Mammalogy, 89(3), pp.674-683.",(Pavey et al. 2008b)
"Pavey, C.R., Nano, C.E., Cooper, S.J., Cole, J.R. and McDonald, P.J., 2012. Habitat use, population dynamics and species identification of mulgara, Dasycercus blythi and D. cristicauda, in a zone of sympatry in central Australia. Australian Journal of Zoology, 59(3), pp.156-169.",(Pavey et al. 2012)
"Paxton, E. H., Laut, M., Vetter, J. P., & Kendall, S. J. 2018. Research and management priorities for Hawaiian forest birds. The Condor: Ornithological Applications 120(3): 557-565.",(Paxton et al. 2018)
